income,food,bread,rice,meat,restaurant,housing,source
211.332,67.043,23266,17056,5268,6440,67.89,Wage/Salaries
253.873,85.503,15675,10480,28168,11930,46.908,Wage/Salaries
102.365,90.41,29890,25668,17908,17000,19.386,Entrepreneurial Activities
458.202,66.819,16311,12320,6378,13520,40.68,Wage/Salaries
202.707,67.637,37467,34178,3632,2940,23.412,Wage/Salaries
103.817,62.19,24170,1080,3262,0,15.18,Wage/Salaries
334.974,95.528,41902,36300,6960,330,10.416,Wage/Salaries
147.438,83.358,20008,18100,1200,34301,7.38,Entrepreneurial Activities
94.553,70.931,27643,24596,15245,60,9.942,Wage/Salaries
43.14,18.857,7316,5519,845,0,6.39,Entrepreneurial Activities
115.085,81.328,21158,0,9244,13520,17.436,Wage/Salaries
101.569,69.967,31374,28154,2952,8355,12.972,Wage/Salaries
68.6,48.54,23272,21840,3680,5186,9.462,Entrepreneurial Activities
356.717,101.613,13963,10277,8986,56150,41.616,Wage/Salaries
544.832,33.288,15415,13575,1680,2100,12.9,Wage/Salaries
178.107,59.077,24372,22987,2563,16600,14.19,Entrepreneurial Activities
78.011,36.964,20744,18483,3378,520,8.442,Wage/Salaries
359.472,191.265,40114,24064,36660,49020,52.758,Wage/Salaries
76.079,41.312,11085,0,1140,1150,20.418,Entrepreneurial Activities
81.209,44.725,17020,13563,5890,5950,6.408,Wage/Salaries
119.894,86.179,44117,38976,6450,9500,12.042,Wage/Salaries
210.147,79.908,19038,11788,15006,5460,19.992,Wage/Salaries
77.496,45.152,26200,23829,2248,990,10.818,Entrepreneurial Activities
557.722,158.252,33920,22482,6320,28880,79.512,Wage/Salaries
73.325,41.916,19444,15854,6239,0,10.83,Entrepreneurial Activities
77.45,16.164,9180,3564,880,2500,3.15,Wage/Salaries
215.58,109.037,21392,15288,15678,40420,40.752,Wage/Salaries
277.688,120.316,32814,22444,20774,28180,32.928,Entrepreneurial Activities
298.32,40.615,10904,7720,7330,0,30.732,Entrepreneurial Activities
132.729,56.104,24547,20141,2844,2880,17.298,Wage/Salaries
174.692,101.019,20270,11428,18588,3820,14.112,Entrepreneurial Activities
214.404,85.245,22794,19088,18585,9100,49.404,Wage/Salaries
142.449,76.079,37542,33485,1900,11355,16.44,Entrepreneurial Activities
468.838,125.425,33334,29604,9980,32580,19.236,Wage/Salaries
397.244,111.423,20984,15280,7230,41175,63.648,Wage/Salaries
124.23,78.922,22324,17896,4020,880,22.992,Entrepreneurial Activities
511.911,113.432,23901,15385,33421,7300,76.278,Entrepreneurial Activities
671.261,98.211,20372,11570,11126,30270,74.67,Wage/Salaries
408.727,124.959,41015,33726,17440,7420,45.018,Entrepreneurial Activities
260.776,98.728,20381,14125,24684,15130,32.652,Wage/Salaries
65.155,34.625,14166,0,1310,150,5.94,Wage/Salaries
127.848,37.094,11966,10010,4755,1040,19.878,Entrepreneurial Activities
560.18,109.46,19285,10582,35885,4350,57.588,Wage/Salaries
376.972,125.995,20577,16057,9985,43850,57.0,Wage/Salaries
111.277,70.929,21734,19240,9286,8640,21.66,Wage/Salaries
114.71,49.904,15174,13208,6992,4800,13.404,Wage/Salaries
170.326,95.119,41856,29684,4476,3590,15.99,Wage/Salaries
212.62,70.685,25523,19367,10048,2520,27.144,Wage/Salaries
219.822,70.902,34128,22444,3498,8815,16.32,Entrepreneurial Activities
225.25,119.011,44540,27768,28452,3050,23.34,Entrepreneurial Activities
443.948,159.483,46636,37260,41966,12670,59.97,Wage/Salaries
489.4,228.015,40649,17940,39910,76200,70.44,Wage/Salaries
98.865,45.069,16671,0,6664,300,11.73,Entrepreneurial Activities
176.364,77.023,17706,11206,8290,11180,16.626,Wage/Salaries
81.481,48.998,14925,11492,4909,9030,10.062,Wage/Salaries
111.268,68.726,29415,27914,6222,4080,24.978,Entrepreneurial Activities
124.926,49.222,13630,12208,12764,8340,43.902,Entrepreneurial Activities
117.191,58.416,14848,10930,1363,1730,8.19,Entrepreneurial Activities
77.418,26.244,8295,6350,2595,3550,26.208,Entrepreneurial Activities
109.91,55.85,29814,21490,2385,870,10.344,Entrepreneurial Activities
221.063,135.58,41429,25680,10070,14820,25.08,Wage/Salaries
54.804,28.594,14630,14480,600,3620,11.922,Wage/Salaries
331.062,165.998,22187,11400,28792,40450,62.79,Entrepreneurial Activities
66.17,72.488,35854,34554,2550,1940,6.0,Wage/Salaries
137.141,58.722,24994,16260,9458,2880,12.6,Wage/Salaries
220.061,61.012,13519,9767,2380,21050,17.898,Wage/Salaries
182.225,95.887,36459,26220,9316,10780,12.582,Wage/Salaries
57.011,23.669,8902,84,780,120,9.858,Wage/Salaries
189.759,95.487,39110,32664,8742,1690,8.478,Wage/Salaries
127.742,57.332,19584,16146,7906,4920,10.692,Wage/Salaries
442.226,101.059,29589,24880,3499,44690,43.224,Wage/Salaries
146.992,93.005,39156,28818,5356,5440,32.76,Wage/Salaries
86.284,43.885,14336,11250,4010,2300,10.458,Wage/Salaries
147.995,69.404,19259,13280,10708,6280,20.382,Wage/Salaries
113.685,55.16,12667,8400,4280,0,17.79,Entrepreneurial Activities
98.59,41.392,16556,5600,2509,1575,5.142,Entrepreneurial Activities
207.153,96.609,28444,24000,15989,21200,31.968,Entrepreneurial Activities
128.219,56.131,17013,14094,5138,5200,33.3,Wage/Salaries
190.3,62.748,29107,25300,3962,5000,75.864,Entrepreneurial Activities
84.015,57.688,25152,22550,2659,3460,10.8,Wage/Salaries
85.934,41.428,22835,16653,2306,1560,10.488,Wage/Salaries
155.494,94.308,43924,41500,9085,0,26.58,Wage/Salaries
104.256,47.179,13104,12610,7411,14480,16.83,Wage/Salaries
527.908,102.59,20062,14154,8520,44540,41.808,Wage/Salaries
102.685,38.361,16282,10920,2159,520,11.706,Entrepreneurial Activities
63.016,77.884,32971,26177,2072,1170,18.462,Wage/Salaries
70.643,22.109,10868,9960,2380,0,15.678,Wage/Salaries
480.178,97.417,32952,31100,7312,23787,41.94,Wage/Salaries
100.655,36.24,17757,14560,2770,1100,11.976,Wage/Salaries
179.901,118.965,35076,22280,15850,31018,30.258,Entrepreneurial Activities
104.05,84.358,40716,37830,4192,5290,10.8,Wage/Salaries
316.362,122.16,48702,43666,2752,7400,50.16,Wage/Salaries
223.98,101.549,33436,28860,21476,19030,50.868,Wage/Salaries
341.035,67.051,21348,18824,5024,24900,33.24,Entrepreneurial Activities
61.42,37.191,14515,7200,790,0,5.25,Wage/Salaries
174.899,108.707,53770,24806,11690,1530,12.942,Wage/Salaries
391.631,202.703,40482,21490,31603,37780,59.928,Wage/Salaries
109.534,84.685,31405,27639,4960,120,19.314,Entrepreneurial Activities
109.075,51.972,23494,21358,6426,5030,14.07,Wage/Salaries
273.675,98.35,21907,18492,19550,39230,33.3,Entrepreneurial Activities
149.468,89.218,25090,19950,23900,98,28.158,Wage/Salaries
129.3,79.912,11576,7887,9886,20910,21.216,Wage/Salaries
367.285,184.323,32246,24540,14459,42830,34.308,Wage/Salaries
79.235,32.362,15523,14040,3420,0,9.414,Entrepreneurial Activities
164.939,62.576,29972,27595,8707,9100,36.684,Wage/Salaries
230.644,77.006,23664,22620,10546,18200,17.028,Wage/Salaries
30.719,17.0,5858,3276,910,0,5.61,Entrepreneurial Activities
93.48,44.329,13102,8242,4125,18333,19.752,Entrepreneurial Activities
146.681,66.69,19688,16241,4084,10480,18.048,Wage/Salaries
118.609,56.491,30502,25048,7673,0,11.55,Entrepreneurial Activities
125.79,82.644,41688,34395,1728,1040,13.002,Entrepreneurial Activities
142.305,111.047,32459,26426,8564,34450,35.82,Wage/Salaries
118.041,64.267,19562,12870,8910,17900,21.72,Wage/Salaries
511.9,166.848,31328,21060,29278,36850,70.392,Wage/Salaries
114.7,66.652,10518,6396,3754,28500,21.48,Wage/Salaries
203.935,67.522,18668,12282,3977,18480,21.39,Wage/Salaries
250.5,81.464,17354,11440,17790,14300,22.356,Wage/Salaries
134.65,56.591,18771,585,4568,2929,8.316,Wage/Salaries
