PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,Air_Quality
43.88,137.19,13.38,15.46,28.84,9.99,0.89,2.35,34.26,4.61,1.34,0.9,112.0,Moderate
15.52,46.14,2.16,15.11,9.79,4.67,0.42,13.67,23.72,0.11,1.33,0.18,57.0,Satisfactory
58.23,108.26,10.82,66.72,20.79,34.59,0.3,30.29,29.52,0.08,2.06,0.31,107.0,Moderate
7.0,11.0,9.66,43.87,3.57,28.86,0.09,15.62,17.76,0.02,0.11,0.11,34.0,Good
96.83,88.36,11.04,37.91,28.39,14.6,0.76,18.61,39.92,2.33,15.71,3.03,133.0,Moderate
31.85,76.51,2.78,32.48,19.38,11.93,0.74,6.11,61.46,0.65,3.29,0.55,101.0,Moderate
82.34,168.93,11.85,49.71,14.9,19.45,0.0,29.68,49.64,0.09,1.78,2.41,163.0,Moderate
40.8,83.56,8.88,35.37,24.88,14.5,0.67,5.14,26.37,1.12,5.69,0.9,78.0,Satisfactory
52.17,110.27,8.16,23.32,29.75,23.42,0.55,9.19,56.6,5.37,10.22,1.18,132.0,Moderate
106.57,196.19,25.97,31.12,45.48,28.86,9.36,5.97,32.88,3.27,15.12,10.65,275.0,Poor
47.25,153.75,15.63,31.77,40.96,38.01,1.23,9.52,50.16,0.94,2.3,0.0,167.0,Moderate
11.35,45.33,7.79,22.84,7.79,11.42,0.05,2.78,45.72,0.0,0.21,0.01,80.0,Satisfactory
77.94,132.25,4.06,30.74,18.63,10.81,0.63,5.63,36.29,1.29,6.15,0.91,161.0,Moderate
18.54,35.57,6.02,13.63,12.23,8.18,0.62,12.08,28.76,0.2,2.33,0.22,48.0,Good
144.04,305.35,25.78,57.05,78.07,37.01,1.73,11.15,49.32,4.97,12.91,3.37,383.0,Very Poor
55.86,157.59,22.25,29.15,33.99,25.37,0.78,11.12,35.01,1.68,21.94,0.01,135.0,Moderate
44.65,87.99,10.73,39.07,28.86,15.12,0.81,8.34,40.93,5.34,21.33,6.5,106.0,Moderate
27.42,104.51,14.66,6.89,27.71,8.26,1.31,3.42,34.72,3.47,0.98,0.65,119.0,Moderate
157.71,194.09,12.28,31.05,34.1,66.38,8.21,5.64,28.56,2.13,4.24,1.12,334.0,Very Poor
39.12,69.06,5.93,24.73,17.97,14.14,0.77,10.8,34.82,0.71,8.37,0.13,83.0,Satisfactory
73.91,105.01,5.09,10.36,14.06,10.59,0.89,7.65,44.51,0.55,3.64,0.13,149.0,Moderate
13.65,26.13,3.35,12.65,8.2,11.54,0.3,7.33,14.41,0.06,0.56,0.04,32.0,Good
11.81,43.2,5.0,29.99,20.12,4.69,0.34,13.82,41.43,0.09,1.65,0.13,50.0,Good
53.09,112.6,8.63,5.0,9.58,5.96,0.51,11.35,17.72,4.88,0.65,1.67,94.0,Satisfactory
11.65,27.15,5.28,22.68,16.42,2.06,0.56,22.58,25.94,0.15,2.15,0.18,70.0,Satisfactory
50.52,118.89,3.99,36.62,22.14,14.17,0.69,7.32,34.52,1.83,14.78,1.22,111.0,Moderate
198.88,296.98,66.0,44.3,82.89,45.17,1.9,10.95,24.63,7.0,36.98,0.79,378.0,Very Poor
43.08,116.06,5.34,19.02,14.54,22.46,0.79,22.7,25.64,0.09,2.16,0.12,108.0,Moderate
16.48,42.25,3.82,24.21,15.61,9.17,0.24,5.74,23.96,0.43,3.89,0.29,53.0,Satisfactory
7.42,10.54,6.9,8.85,5.15,4.45,0.15,4.18,37.5,0.0,0.4,0.09,59.0,Satisfactory
77.78,194.58,20.21,47.58,44.25,32.12,1.21,20.15,55.06,3.66,22.84,0.17,206.0,Poor
49.22,137.39,13.4,40.3,41.85,46.61,2.05,11.3,56.2,1.07,2.34,0.0,174.0,Moderate
81.51,181.02,35.66,37.44,71.01,10.04,0.01,2.73,15.76,6.88,3.4,11.26,160.0,Moderate
11.79,34.3,5.24,10.34,4.8,8.63,0.17,5.77,22.38,0.09,1.32,0.18,51.0,Satisfactory
39.81,138.9,1.14,18.58,10.81,7.81,0.44,13.03,51.98,0.14,1.37,0.12,122.0,Moderate
44.27,107.15,9.28,6.38,12.52,6.01,0.81,9.57,31.61,0.89,5.89,1.15,128.0,Moderate
50.81,86.52,7.07,13.18,18.89,10.29,1.33,9.26,41.84,0.92,4.24,1.47,118.0,Moderate
53.03,118.1,9.54,23.64,21.9,28.33,0.83,18.38,49.51,1.88,11.18,0.04,126.0,Moderate
11.48,37.59,8.5,15.64,8.41,5.32,0.18,5.22,29.81,0.08,1.11,0.31,67.0,Satisfactory
62.55,122.25,7.44,79.24,87.27,14.09,1.98,3.1,17.4,4.21,7.93,6.53,127.0,Moderate
81.4,124.5,1.44,20.5,12.08,10.72,0.12,15.24,127.09,0.2,6.5,0.06,184.0,Moderate
112.89,254.24,32.12,43.78,74.53,22.81,2.07,18.61,71.98,4.85,15.43,2.03,333.0,Very Poor
117.72,181.59,31.51,50.97,3.61,51.89,1.54,19.95,43.85,3.9,9.81,0.28,253.0,Poor
205.44,373.61,57.41,65.98,86.56,51.21,1.99,19.65,46.13,7.93,64.64,2.6,391.0,Very Poor
29.32,70.96,10.13,19.22,8.58,5.72,0.19,4.97,24.76,0.62,3.19,1.88,86.0,Satisfactory
39.68,63.97,5.07,25.48,17.48,14.17,0.45,6.81,21.89,1.45,19.66,4.07,68.0,Satisfactory
115.96,280.24,50.19,55.44,68.24,33.54,1.61,17.96,44.92,5.51,57.84,1.22,253.0,Poor
71.27,156.66,21.07,14.77,29.73,12.55,0.31,9.85,30.07,1.79,1.9,1.9,134.0,Moderate
45.0,89.71,19.39,45.61,65.07,28.23,0.67,11.59,37.56,9.06,16.74,2.17,91.0,Satisfactory
47.29,93.9,5.79,33.37,21.82,15.8,0.46,5.3,32.82,1.24,6.16,0.75,105.0,Moderate
20.53,51.91,13.19,26.18,27.51,24.89,1.02,8.14,21.46,1.56,15.92,0.89,80.0,Satisfactory
54.29,100.05,19.14,36.5,55.61,30.4,0.84,12.35,14.97,26.75,32.95,2.27,201.0,Poor
93.51,213.26,34.86,50.05,57.98,29.84,1.37,11.7,39.48,3.82,28.98,3.4,243.0,Poor
47.97,104.93,3.86,38.91,23.52,19.42,0.74,9.83,56.45,1.33,7.29,1.34,106.0,Moderate
65.24,270.03,22.46,33.03,39.12,25.87,1.04,12.82,44.4,2.7,22.73,0.75,234.0,Poor
133.56,231.04,31.78,46.86,3.92,43.23,1.36,19.06,54.0,3.09,9.36,0.4,278.0,Poor
22.63,72.7,17.79,11.82,27.96,11.84,0.73,7.16,32.26,1.41,1.72,2.0,66.0,Satisfactory
82.5,165.94,22.67,38.31,41.45,28.42,0.96,13.25,33.55,2.51,21.49,0.78,169.0,Moderate
102.79,200.55,88.75,70.22,149.82,27.56,1.14,13.87,38.81,33.93,46.14,4.94,229.0,Poor
37.76,102.3,7.23,5.1,9.17,5.96,0.89,9.16,38.1,0.88,3.83,0.39,110.0,Moderate
150.79,220.08,32.01,47.38,70.95,45.56,1.51,16.32,47.92,3.0,8.48,0.18,330.0,Very Poor
50.13,86.22,9.34,30.3,39.69,26.21,0.6,11.45,37.8,5.91,11.48,1.23,127.0,Moderate
49.62,97.93,9.76,35.86,23.05,16.9,0.58,13.5,51.23,5.08,24.64,3.75,114.0,Moderate
27.49,115.88,19.96,23.21,30.78,20.34,0.63,11.24,23.11,1.28,24.6,0.03,108.0,Moderate
46.69,88.15,17.79,30.9,34.32,34.25,1.13,9.96,27.25,2.13,21.93,0.29,101.0,Moderate
54.53,157.09,11.78,8.0,20.1,8.69,0.88,3.55,29.18,5.07,1.73,1.38,140.0,Moderate
48.6,98.66,4.74,31.95,20.68,20.01,0.59,5.26,29.23,2.41,9.2,0.75,95.0,Satisfactory
38.5,82.42,13.62,28.55,24.59,16.84,0.45,4.7,22.27,0.19,1.04,0.01,79.0,Satisfactory
45.44,100.89,31.86,27.8,59.66,9.29,0.01,3.54,5.79,6.53,2.44,8.12,131.0,Moderate
40.08,93.9,6.5,14.86,12.92,11.63,0.58,7.89,28.04,1.74,9.37,0.68,98.0,Satisfactory
44.39,114.54,72.97,54.79,127.95,16.33,0.94,3.48,13.89,12.84,8.01,7.08,159.0,Moderate
39.12,62.5,14.7,21.75,20.19,8.78,0.67,3.03,17.28,0.76,5.99,1.36,87.0,Satisfactory
68.66,150.99,10.59,38.67,49.18,21.81,0.67,15.32,38.31,19.11,28.69,1.53,145.0,Moderate
95.29,216.9,65.98,50.6,96.2,25.75,1.19,8.18,23.25,2.63,6.29,0.78,214.0,Poor
39.77,101.8,21.85,30.63,37.55,29.56,1.04,9.62,20.64,2.12,31.65,0.08,108.0,Moderate
63.18,294.27,11.09,23.13,22.98,28.61,0.97,9.11,30.81,1.92,18.59,0.07,312.0,Very Poor
49.14,139.55,14.17,51.13,38.23,19.44,0.9,10.1,31.15,2.21,15.4,4.97,122.0,Moderate
52.6,154.66,12.65,29.28,35.13,41.24,0.98,9.08,60.12,1.51,3.67,0.0,183.0,Moderate
582.28,706.58,28.98,49.67,53.58,56.52,2.39,10.2,33.91,6.21,33.78,1.19,659.0,Severe
50.03,90.53,3.44,4.47,6.21,12.04,0.96,8.04,36.49,1.16,6.74,1.52,103.0,Moderate
13.22,40.07,4.16,22.74,15.17,10.6,0.25,6.07,20.08,0.37,3.72,0.31,68.0,Satisfactory
141.81,258.62,56.86,50.67,78.58,42.7,1.54,17.61,38.64,4.71,31.45,1.53,303.0,Very Poor
28.04,51.18,4.17,23.54,13.8,8.1,0.62,2.68,18.41,0.67,4.0,2.23,63.0,Satisfactory
21.39,51.57,4.76,19.89,13.88,9.06,0.86,2.8,20.34,0.54,3.23,0.17,76.0,Satisfactory
77.78,131.14,6.1,43.84,28.33,26.3,0.09,7.62,43.26,0.18,6.61,0.07,162.0,Moderate
10.0,24.49,2.22,12.34,8.22,39.61,0.5,9.6,19.04,3.02,0.57,1.17,35.0,Good
146.1,283.99,90.92,30.53,120.09,12.51,3.08,6.11,44.48,11.29,11.91,19.51,317.0,Very Poor
29.1,56.92,10.53,23.58,24.12,24.71,0.72,10.98,26.36,1.05,17.3,0.14,86.0,Satisfactory
36.89,76.61,6.62,18.83,15.39,13.96,0.57,7.04,13.58,0.06,2.88,0.1,76.0,Satisfactory
57.61,157.84,8.41,35.93,8.46,39.69,0.25,22.31,39.94,0.2,2.08,0.38,160.0,Moderate
96.85,215.67,29.06,32.62,54.79,14.69,1.13,9.91,30.02,4.68,1.57,6.07,237.0,Poor
31.99,57.18,2.22,10.99,7.67,14.0,0.66,23.6,51.47,0.43,1.47,0.11,68.0,Satisfactory
15.2,45.09,4.69,9.26,8.84,8.99,1.18,6.82,54.21,2.11,0.06,4.47,125.0,Moderate
57.7,119.64,10.55,54.46,36.98,25.09,0.99,11.25,38.93,4.26,21.07,3.74,122.0,Moderate
33.08,85.8,4.7,34.43,21.92,13.2,0.68,6.35,34.53,1.31,7.86,1.01,80.0,Satisfactory
12.34,25.87,2.4,12.06,8.22,27.13,0.53,11.13,28.09,2.83,0.46,1.15,51.0,Satisfactory
21.95,46.79,13.04,15.49,28.53,6.76,0.01,10.4,26.48,4.12,1.56,5.21,85.0,Satisfactory
62.5,134.22,37.25,56.5,89.28,21.4,0.7,13.91,48.05,23.59,29.63,2.73,157.0,Moderate
60.55,148.34,9.42,41.27,11.22,24.64,0.19,14.86,63.64,0.1,1.74,0.25,137.0,Moderate
516.2,82.97,3.03,0.62,2.72,10.78,1.09,4.77,38.74,1.05,5.82,0.47,487.0,Severe
56.38,105.86,11.99,36.64,27.32,16.47,0.6,5.87,27.5,0.72,4.37,0.12,94.0,Satisfactory
67.09,109.2,10.09,38.78,9.6,14.4,0.0,3.76,66.33,0.02,0.16,0.03,104.0,Moderate
72.77,111.94,8.77,15.59,22.61,11.7,0.61,13.17,29.49,1.88,10.04,1.22,157.0,Moderate
22.29,61.44,5.68,13.96,10.94,9.85,0.36,9.63,22.08,0.34,1.91,0.22,68.0,Satisfactory
61.25,100.46,7.54,39.37,8.27,15.38,0.25,6.08,69.11,0.02,0.2,0.03,110.0,Moderate
30.77,80.76,9.53,10.03,19.56,13.08,0.48,16.2,13.5,2.42,3.18,1.98,113.0,Moderate
54.28,99.59,48.09,48.52,53.03,12.07,1.47,11.9,22.33,0.72,3.72,1.03,125.0,Moderate
217.7,363.77,104.83,91.65,135.9,44.56,3.0,19.85,48.43,8.84,71.87,5.87,375.0,Very Poor
15.94,40.79,1.83,14.46,8.74,7.89,0.32,4.75,25.63,0.17,0.86,0.06,40.0,Good
17.96,47.61,5.68,14.95,12.66,14.75,0.69,6.51,32.73,0.19,0.12,0.15,73.0,Satisfactory
182.47,292.56,29.02,51.64,54.77,37.3,1.58,11.95,23.72,5.25,37.6,1.05,296.0,Poor
29.42,81.97,12.1,27.89,26.39,22.01,0.92,8.22,26.67,2.46,15.92,0.27,75.0,Satisfactory
103.01,102.9,3.03,0.74,2.58,11.17,0.86,5.43,51.97,1.15,5.33,0.58,235.0,Poor
79.44,144.61,9.66,38.43,48.0,27.49,0.96,12.59,34.64,22.44,29.42,1.49,179.0,Moderate
20.92,49.94,3.23,13.32,9.81,9.1,0.56,15.85,25.36,0.0,0.01,0.1,60.0,Satisfactory
46.57,77.11,6.29,15.71,21.9,18.62,0.57,11.46,58.18,3.34,6.79,0.76,100.0,Satisfactory
43.68,135.12,6.78,41.05,26.43,22.07,0.8,13.57,33.27,4.06,26.06,6.63,118.0,Moderate
16.11,54.35,8.38,19.2,6.73,21.42,0.07,6.0,54.74,0.02,0.44,0.16,106.0,Moderate
45.39,74.14,10.2,17.14,22.27,33.16,7.87,8.8,25.55,1.05,4.83,0.74,188.0,Moderate
43.87,116.45,3.31,30.94,18.98,13.17,0.6,5.83,61.91,1.65,11.53,0.79,108.0,Moderate
67.15,107.1,4.36,25.62,17.18,19.74,0.84,12.22,47.84,1.2,9.82,0.25,96.0,Satisfactory
31.45,79.17,12.1,8.29,16.71,13.32,0.84,6.59,19.06,3.77,1.95,7.62,121.0,Moderate
209.96,349.54,54.16,63.79,81.87,46.84,1.79,14.22,40.22,5.32,42.92,0.94,396.0,Very Poor
143.51,202.59,20.23,43.91,50.62,38.55,1.16,13.3,37.68,2.29,5.38,0.08,309.0,Very Poor
49.41,119.44,2.39,37.02,21.5,14.39,0.52,11.5,35.68,1.88,15.46,3.05,100.0,Satisfactory
21.22,43.36,2.75,12.12,8.68,13.05,0.45,18.25,31.33,0.24,0.49,0.12,52.0,Satisfactory
97.37,314.96,31.92,58.31,57.05,35.05,1.1,11.59,56.75,3.73,4.64,0.0,268.0,Poor
101.59,292.49,25.6,44.76,57.92,42.4,1.17,16.59,67.56,2.96,5.24,0.0,269.0,Poor
104.57,177.15,69.35,49.02,117.13,36.09,1.3,10.78,16.94,2.26,7.8,2.21,245.0,Poor
23.92,45.63,8.83,10.22,17.6,10.46,0.51,21.06,11.71,3.73,1.13,5.79,47.0,Good
59.82,109.93,3.82,35.89,21.32,10.25,0.55,7.39,41.0,1.83,8.74,1.08,107.0,Moderate
13.95,30.32,6.97,15.32,22.21,11.51,0.44,2.37,20.74,24.65,7.78,2.1,39.0,Good
120.91,210.21,23.19,51.02,68.08,45.92,1.65,20.88,43.68,2.94,8.36,0.12,330.0,Very Poor
136.47,217.45,19.78,45.27,42.16,35.34,1.1,15.89,33.34,3.13,19.33,0.05,275.0,Poor
90.54,189.23,25.07,56.97,64.03,29.13,1.0,7.51,11.65,2.22,9.02,2.37,231.0,Poor
13.75,45.45,8.57,22.7,7.61,9.17,0.07,3.03,57.96,0.01,0.26,0.03,109.0,Moderate
57.28,120.43,4.89,52.67,31.79,21.26,0.96,6.03,45.57,1.61,5.98,1.94,118.0,Moderate
13.78,24.72,3.08,10.61,8.24,10.25,0.47,11.83,29.61,0.21,3.14,0.24,41.0,Good
60.17,94.51,21.31,92.33,29.15,26.25,0.59,27.92,25.99,0.17,3.61,4.51,97.0,Satisfactory
26.73,47.19,13.19,13.84,21.83,11.87,0.63,16.16,7.2,5.0,1.15,11.83,55.0,Satisfactory
84.31,132.9,11.04,11.56,21.66,31.4,0.36,13.78,22.45,2.49,3.3,1.92,179.0,Moderate
55.19,179.42,27.91,35.49,61.81,23.76,1.04,12.97,52.24,3.09,7.72,6.26,199.0,Moderate
144.33,353.5,45.32,74.13,88.45,65.63,3.2,17.75,67.9,4.15,5.23,0.0,330.0,Very Poor
56.27,111.69,4.11,27.67,17.74,11.32,0.48,8.28,32.11,0.64,5.76,0.25,104.0,Moderate
12.01,37.69,3.63,15.41,10.45,9.86,0.46,5.78,21.49,0.43,3.31,0.31,48.0,Good
10.11,23.08,23.03,14.19,14.12,24.24,0.45,16.84,23.09,0.13,0.99,0.13,37.0,Good
35.61,86.24,2.81,29.59,17.69,15.82,0.6,6.07,53.56,0.72,2.68,0.71,104.0,Moderate
20.92,81.28,15.02,13.74,38.41,9.66,0.78,6.25,40.85,3.52,0.97,0.76,88.0,Satisfactory
23.0,62.17,6.93,46.21,3.46,44.05,0.07,3.71,14.74,0.01,0.04,0.06,49.0,Good
40.48,75.97,6.79,32.25,22.12,13.03,0.7,14.21,51.0,2.88,12.43,3.1,102.0,Moderate
12.37,22.79,3.17,9.77,7.78,9.65,0.54,18.18,19.25,0.09,0.69,0.1,42.0,Good
108.41,166.25,10.43,49.01,11.51,26.15,0.0,16.8,43.54,0.06,0.94,0.08,281.0,Poor
154.49,235.28,17.73,9.94,27.64,12.81,0.37,19.27,15.38,3.53,4.21,2.0,313.0,Very Poor
44.44,83.57,10.18,35.39,27.05,14.36,0.59,22.05,55.83,4.61,29.47,3.52,100.0,Satisfactory
23.63,60.91,6.7,17.43,7.09,5.14,0.21,4.59,31.39,0.55,2.48,1.74,72.0,Satisfactory
65.2,162.21,49.57,51.63,96.69,41.95,0.83,6.54,17.62,2.69,8.9,2.69,176.0,Moderate
31.66,53.22,1.94,9.29,6.53,14.42,0.62,15.94,46.68,0.18,1.19,0.12,68.0,Satisfactory
64.73,122.45,14.33,45.83,36.44,14.38,0.92,5.73,26.62,2.04,12.16,2.33,125.0,Moderate
137.81,263.37,100.06,50.56,150.62,9.65,2.5,9.17,24.79,9.65,11.6,18.92,316.0,Very Poor
13.9,26.07,1.78,5.15,4.18,8.51,0.49,23.29,25.43,0.04,0.29,0.15,37.0,Good
50.78,101.89,5.37,43.04,26.99,21.37,0.79,7.58,53.66,1.32,6.6,1.67,108.0,Moderate
27.35,82.96,1.26,13.16,7.67,48.75,0.54,5.84,14.54,4.31,0.11,0.58,75.0,Satisfactory
172.07,236.51,54.75,32.84,86.53,30.9,2.45,8.47,18.56,4.17,1.47,5.06,349.0,Very Poor
49.2,116.27,2.37,16.7,10.86,12.82,0.69,15.37,44.06,0.08,0.18,0.16,120.0,Moderate
29.06,104.61,11.67,9.14,27.71,7.18,0.69,3.55,18.23,5.16,1.42,0.85,112.0,Moderate
56.27,98.59,5.52,9.52,13.7,10.28,0.67,5.45,33.34,0.9,3.95,0.87,116.0,Moderate
83.79,150.97,10.65,52.58,19.39,20.72,0.0,13.58,53.54,0.06,1.01,0.07,156.0,Moderate
46.53,127.08,10.21,34.22,28.48,35.01,0.76,10.92,45.16,1.49,21.79,1.1,130.0,Moderate
53.51,173.04,12.27,42.5,13.91,36.91,0.19,19.01,42.89,0.17,1.46,0.43,143.0,Moderate
42.4,55.89,10.76,10.82,20.45,11.96,0.64,10.61,23.37,1.66,1.67,2.0,96.0,Satisfactory
86.41,274.39,9.48,39.89,30.31,40.86,1.31,17.67,65.26,3.38,23.29,1.42,251.0,Poor
20.21,91.71,4.66,16.41,12.61,18.05,0.34,6.74,29.91,0.12,0.08,0.1,100.0,Satisfactory
77.4,101.33,10.15,14.08,22.41,10.39,1.68,10.62,42.17,2.3,12.17,4.36,123.0,Moderate
14.29,47.25,7.8,15.3,7.23,5.08,0.15,5.86,29.41,0.27,2.28,0.54,66.0,Satisfactory
27.18,64.55,8.85,8.96,16.41,10.13,0.48,2.96,14.03,3.75,1.11,13.8,61.0,Satisfactory
16.06,34.69,6.65,14.13,20.78,8.85,0.37,4.71,15.84,11.51,10.45,2.49,47.0,Good
44.75,97.01,10.51,18.43,17.9,30.26,0.68,9.39,12.34,5.74,0.21,1.08,99.0,Satisfactory
80.65,133.85,16.88,7.57,17.78,6.95,0.88,10.2,22.35,6.95,0.55,1.33,187.0,Moderate
13.72,31.06,1.4,4.58,3.58,6.74,0.0,15.56,26.1,0.05,0.54,0.16,42.0,Good
18.47,52.91,7.36,16.89,15.06,16.57,0.8,11.49,22.14,0.11,0.09,0.1,111.0,Moderate
189.44,339.69,17.22,10.0,27.22,13.0,0.48,16.3,15.22,3.13,3.65,2.0,358.0,Very Poor
41.11,65.51,15.6,28.89,25.22,8.47,0.82,3.01,13.19,1.05,5.04,0.6,75.0,Satisfactory
21.58,68.71,20.4,39.44,37.67,3.41,0.73,10.43,19.42,0.0,0.07,0.1,61.0,Satisfactory
60.07,146.71,8.4,46.53,31.0,18.89,0.54,17.26,23.73,5.46,56.11,18.56,124.0,Moderate
24.68,132.02,8.38,29.05,22.21,3.97,0.58,16.03,23.73,0.41,3.95,0.48,124.0,Moderate
57.67,112.93,9.8,27.12,23.3,27.71,0.81,16.32,40.36,1.79,11.45,0.14,111.0,Moderate
20.35,56.42,3.97,19.28,13.24,28.92,0.52,8.82,18.38,0.22,2.03,0.43,67.0,Satisfactory
18.45,31.97,9.05,19.79,28.81,10.36,0.53,4.13,16.25,23.51,20.91,3.0,46.0,Good
148.59,203.81,11.82,20.83,28.29,45.62,11.44,5.96,16.65,3.37,6.98,2.94,333.0,Very Poor
15.75,34.12,2.8,9.34,7.33,12.08,0.4,28.32,36.06,0.16,1.66,0.17,49.0,Good
54.21,110.82,73.43,72.44,95.37,129.46,1.29,67.26,29.01,4.83,2.2,9.16,120.0,Moderate
76.4,163.09,69.99,53.73,121.73,29.94,1.13,16.61,25.83,28.49,40.12,5.14,201.0,Poor
34.9,72.3,13.1,8.83,21.94,11.05,0.24,9.0,28.31,2.25,1.02,2.0,69.0,Satisfactory
60.26,107.15,3.47,41.85,24.88,17.74,0.59,5.07,34.63,1.89,10.08,1.4,120.0,Moderate
31.51,67.42,3.15,30.16,18.39,14.27,0.62,7.18,48.4,0.86,5.9,1.45,83.0,Satisfactory
58.24,133.58,8.67,48.41,32.58,14.22,0.64,10.22,29.95,2.11,18.41,10.15,114.0,Moderate
58.44,128.56,8.23,47.2,31.47,12.06,0.68,6.19,26.5,3.78,34.82,5.02,105.0,Moderate
51.74,163.76,46.35,48.99,51.0,11.97,1.42,11.73,21.01,0.17,3.54,0.29,140.0,Moderate
59.91,149.81,12.22,63.27,43.32,25.07,1.05,16.63,39.62,2.93,17.29,4.59,131.0,Moderate
65.24,136.91,10.12,52.86,35.35,12.52,0.7,19.97,38.19,4.51,31.48,3.94,134.0,Moderate
31.88,70.0,7.2,32.42,21.16,19.59,0.87,4.28,35.94,0.89,3.84,1.31,77.0,Satisfactory
16.57,50.38,13.54,7.71,19.39,33.5,0.59,6.39,15.03,3.47,2.1,7.87,65.0,Satisfactory
40.24,117.1,8.42,17.45,17.77,31.61,0.77,16.21,47.16,1.68,8.42,0.0,119.0,Moderate
56.62,92.76,13.47,33.22,46.71,12.09,0.76,4.47,34.19,20.41,33.65,2.72,129.0,Moderate
18.29,41.01,6.12,17.63,14.44,13.21,0.63,6.53,37.35,0.32,0.29,0.13,85.0,Satisfactory
53.45,141.76,14.36,59.99,44.33,20.39,1.0,20.33,40.67,5.96,41.6,10.09,130.0,Moderate
98.25,205.92,26.84,41.07,59.03,44.26,1.18,12.93,38.38,1.85,3.67,0.57,244.0,Poor
16.78,54.83,5.31,13.74,5.93,5.69,0.2,10.67,26.03,0.28,2.23,0.88,61.0,Satisfactory
83.64,118.52,1.83,15.67,9.82,19.48,0.84,16.5,50.47,0.94,4.12,0.12,166.0,Moderate
106.39,197.16,86.73,67.07,146.25,25.26,1.21,13.82,44.09,33.39,39.34,5.06,234.0,Poor
151.57,355.56,71.68,65.07,105.02,41.76,2.19,11.35,42.22,8.42,25.57,3.79,411.0,Severe
26.16,50.5,8.48,20.14,26.02,12.37,0.48,3.54,18.66,18.81,15.13,1.55,50.0,Good
29.56,53.7,8.71,19.21,19.22,39.66,0.6,3.26,32.38,0.18,0.69,0.12,92.0,Satisfactory
10.62,19.96,3.71,9.32,8.1,17.43,0.59,10.32,14.62,0.07,0.03,0.1,49.0,Good
54.62,114.81,2.56,40.32,23.3,20.25,0.81,7.54,45.56,1.5,7.9,2.26,120.0,Moderate
10.05,41.58,1.41,10.35,6.56,28.06,0.37,8.81,29.03,2.12,0.48,0.95,55.0,Satisfactory
67.36,155.9,15.67,37.39,34.44,30.64,1.16,12.87,46.26,2.75,21.37,0.41,161.0,Moderate
70.61,236.45,20.85,44.85,42.88,35.27,1.13,16.15,61.04,2.8,23.94,0.14,209.0,Poor
18.09,45.11,3.0,7.26,6.39,9.25,1.0,6.14,64.6,0.4,0.24,0.1,89.0,Satisfactory
50.27,146.22,53.67,22.83,64.27,39.57,0.69,22.77,24.11,5.44,2.23,9.93,113.0,Moderate
49.7,109.35,8.38,25.91,20.65,17.96,0.76,14.31,46.63,0.05,0.16,0.1,80.0,Satisfactory
96.62,168.0,19.15,29.04,37.12,35.07,9.59,6.66,29.01,5.67,17.61,22.01,229.0,Poor
82.15,173.07,18.88,31.72,41.03,30.32,1.2,17.22,45.83,0.93,2.17,0.0,177.0,Moderate
102.24,203.79,51.42,54.59,103.98,40.76,1.26,7.07,19.95,3.0,12.38,2.93,211.0,Poor
29.65,72.39,9.35,28.29,25.18,29.08,0.84,7.27,23.33,0.3,1.97,0.29,84.0,Satisfactory
57.16,177.19,5.39,70.75,17.53,39.41,0.17,9.6,30.25,0.23,1.5,0.38,156.0,Moderate
190.41,296.98,32.28,44.32,53.16,33.01,1.43,13.17,39.23,3.75,28.54,0.68,385.0,Very Poor
177.98,394.97,30.48,42.73,58.19,69.47,13.75,9.2,25.58,3.5,7.38,10.65,342.0,Very Poor
52.88,172.08,5.52,26.45,18.96,21.36,0.81,31.74,57.33,0.04,0.05,0.1,154.0,Moderate
64.44,144.33,6.46,40.33,25.58,15.8,0.56,9.45,28.65,3.34,35.14,3.19,130.0,Moderate
41.89,90.88,1.84,33.42,21.61,12.94,0.78,8.26,48.44,0.86,3.35,0.76,85.0,Satisfactory
73.44,256.18,16.91,40.44,46.57,33.33,1.04,13.29,51.01,1.72,2.79,0.0,216.0,Poor
133.53,280.94,30.35,45.33,66.03,49.85,1.36,24.36,52.82,4.03,5.93,0.0,302.0,Very Poor
58.97,153.53,10.96,9.45,20.72,7.05,0.69,3.85,18.99,7.39,3.25,1.86,133.0,Moderate
12.67,31.67,2.39,9.99,6.38,4.88,0.33,4.32,16.24,0.08,0.23,0.01,36.0,Good
128.67,235.51,88.57,64.68,143.92,34.42,2.04,18.82,26.28,36.66,48.76,5.43,289.0,Poor
143.31,255.47,47.91,49.26,69.38,33.83,1.36,16.41,33.03,4.12,28.28,4.16,277.0,Poor
24.49,46.54,2.67,24.04,14.76,12.94,0.68,4.84,51.51,0.53,2.9,0.49,87.0,Satisfactory
62.42,178.25,30.03,34.95,62.91,8.94,0.0,3.59,22.36,6.25,2.07,9.36,158.0,Moderate
27.84,55.37,6.31,14.94,10.74,38.89,0.55,15.91,54.79,2.84,5.23,9.78,81.0,Satisfactory
69.51,137.83,19.01,63.8,16.45,18.0,0.0,7.19,48.08,0.02,0.33,0.07,156.0,Moderate
33.66,105.3,10.94,6.56,11.8,5.97,0.73,8.19,21.1,5.69,2.16,1.39,102.0,Moderate
84.49,158.8,26.82,45.77,72.64,27.64,0.89,16.04,25.17,28.48,34.04,2.88,179.0,Moderate
