PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,Air_Quality
45.49,106.29,4.86,8.74,11.95,8.93,0.92,8.03,31.7,1.15,5.14,2.61,119.0,Moderate
64.93,100.92,9.23,22.8,8.34,21.5,0.35,45.54,68.19,0.2,2.78,1.8,134.0,Moderate
71.83,98.89,8.49,21.42,19.55,12.44,11.62,10.99,22.51,1.38,4.63,2.6,324.0,Very Poor
32.11,71.02,18.58,13.58,30.02,12.53,0.99,15.4,25.75,3.86,1.97,8.95,77.0,Satisfactory
78.87,199.37,44.04,44.71,61.88,36.24,1.23,13.42,32.93,4.74,50.77,0.83,237.0,Poor
123.6,163.55,107.88,42.38,141.74,22.38,1.49,10.71,10.29,0.73,8.62,2.42,233.0,Poor
59.08,170.14,11.3,38.55,32.02,27.21,0.88,20.09,54.95,2.46,14.87,0.58,153.0,Moderate
19.42,69.33,5.64,13.23,11.71,10.96,0.41,5.6,47.28,0.29,0.25,0.1,75.0,Satisfactory
19.8,34.77,2.36,30.66,18.32,4.41,0.76,14.36,38.26,0.08,2.31,0.28,78.0,Satisfactory
107.68,224.99,96.3,54.42,142.7,25.16,1.83,14.33,32.56,39.26,53.86,9.44,242.0,Poor
76.92,149.43,16.31,34.92,44.75,40.88,0.96,9.03,38.43,1.02,2.66,0.23,217.0,Poor
41.28,64.98,62.21,34.22,93.46,22.91,0.79,7.1,11.95,2.12,8.77,2.1,116.0,Moderate
68.72,209.02,29.31,40.53,49.0,31.36,0.87,15.42,37.42,2.63,24.39,3.61,170.0,Moderate
276.25,428.08,48.32,55.08,85.75,59.73,2.04,21.02,72.89,5.19,14.81,0.05,411.0,Severe
16.31,41.38,2.77,20.7,13.14,10.75,0.27,6.36,17.31,0.23,1.84,0.21,41.0,Good
12.37,39.29,66.2,11.68,58.88,11.3,0.39,8.63,31.79,0.55,3.05,0.14,98.0,Satisfactory
34.68,91.62,3.27,28.48,17.59,12.87,0.64,6.41,46.07,1.06,7.43,1.54,84.0,Satisfactory
18.81,42.64,4.68,18.42,9.9,8.98,0.44,2.59,15.61,0.39,3.21,0.27,52.0,Satisfactory
10.01,21.56,3.66,15.18,10.9,20.31,0.46,5.97,13.9,0.59,0.67,0.15,51.0,Satisfactory
58.91,131.93,5.36,77.1,82.45,13.85,1.1,2.76,19.82,5.69,7.65,6.37,125.0,Moderate
15.91,33.28,0.46,2.04,0.86,3.7,0.4,13.09,33.05,0.63,1.54,0.12,64.0,Satisfactory
41.82,112.97,3.04,27.4,16.87,11.89,0.6,7.03,46.78,1.21,9.22,2.56,112.0,Moderate
240.87,359.22,67.41,65.83,99.76,85.25,2.28,19.92,37.61,8.46,26.32,0.1,384.0,Very Poor
11.82,36.34,7.7,11.63,5.34,3.92,0.09,5.31,31.88,0.0,0.22,0.01,53.0,Satisfactory
101.36,203.72,46.16,67.53,113.86,27.79,0.95,27.0,47.61,22.97,32.33,3.43,222.0,Poor
80.27,181.64,11.27,14.51,24.08,29.79,0.54,12.37,22.51,2.36,3.33,1.96,147.0,Moderate
211.59,371.05,57.56,58.17,93.17,96.69,13.08,9.9,23.28,6.65,15.45,3.36,358.0,Very Poor
18.79,60.26,5.2,20.45,15.18,18.52,1.1,10.01,22.54,0.1,0.07,0.1,76.0,Satisfactory
86.96,129.99,3.65,28.32,18.03,21.23,0.05,4.83,62.6,0.23,6.93,0.07,186.0,Moderate
23.62,49.13,12.23,9.02,21.25,10.42,0.76,5.33,10.8,2.93,1.13,2.0,50.0,Good
76.48,131.86,4.06,33.37,21.04,22.05,0.06,7.49,45.71,0.16,4.43,0.06,160.0,Moderate
103.93,170.12,37.45,46.48,72.84,50.89,1.21,10.25,38.83,1.73,4.16,0.35,189.0,Moderate
19.9,43.33,7.72,14.33,19.9,11.88,0.37,3.5,19.35,9.5,9.06,2.33,50.0,Good
90.1,211.47,29.38,55.76,57.47,29.3,1.19,24.4,54.67,4.02,27.15,1.03,194.0,Moderate
34.05,90.68,16.53,9.83,25.86,1.68,0.93,4.27,17.23,5.27,0.89,21.98,96.0,Satisfactory
15.35,34.76,2.34,10.7,6.72,5.67,0.35,4.2,16.83,0.14,0.47,0.04,43.0,Good
15.17,40.56,0.93,18.2,10.43,1.28,0.39,23.12,30.24,0.09,0.56,0.16,43.0,Good
127.75,224.02,27.87,46.76,52.38,39.61,1.22,18.24,35.32,3.12,18.7,0.59,244.0,Poor
15.53,48.65,7.46,13.28,6.56,3.57,0.15,13.54,29.3,0.07,0.45,0.18,57.0,Satisfactory
61.47,126.86,3.49,39.51,23.68,20.6,0.84,7.69,44.76,1.76,6.16,1.94,126.0,Moderate
39.89,122.86,15.98,25.06,28.28,42.39,0.8,8.96,28.09,1.08,22.42,0.29,122.0,Moderate
