price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,comes_furnished,laundry_options,parking_options
956,apartment,707,2,1.0,1,1,1,0,0,,no parking
1095,apartment,876,2,1.0,1,0,1,0,0,laundry in bldg,carport
966,apartment,915,2,2.0,1,1,1,0,0,laundry in bldg,off-street parking
799,apartment,700,1,1.0,1,1,1,0,0,w/d in unit,off-street parking
1205,apartment,1160,2,2.0,1,1,1,0,0,w/d in unit,off-street parking
790,apartment,619,1,1.0,0,0,1,0,0,,
858,apartment,1000,2,2.0,1,1,1,0,0,w/d in unit,carport
960,apartment,600,1,1.0,1,0,0,0,0,laundry in bldg,off-street parking
959,apartment,1638,3,2.0,1,1,1,0,0,w/d in unit,off-street parking
1250,apartment,820,2,2.0,1,1,1,0,0,laundry on site,carport
849,manufactured,1056,3,2.0,1,1,1,0,0,w/d in unit,street parking
1850,apartment,1707,2,2.0,0,0,1,0,0,w/d in unit,off-street parking
985,apartment,1060,2,2.0,0,1,0,0,0,w/d hookups,detached garage
1115,apartment,710,1,1.0,1,1,1,0,0,laundry on site,off-street parking
875,apartment,772,1,1.0,1,1,1,1,0,w/d hookups,
1185,townhouse,1065,2,1.5,1,1,1,0,0,w/d in unit,
925,apartment,1001,2,1.0,1,1,1,0,0,w/d hookups,
1546,apartment,566,1,1.0,1,1,0,0,0,laundry in bldg,no parking
1500,apartment,715,1,1.0,1,1,0,1,0,w/d in unit,street parking
1250,townhouse,1200,2,1.0,0,0,0,0,0,w/d hookups,attached garage
567,apartment,830,2,1.0,0,0,0,0,0,laundry in bldg,off-street parking
725,apartment,700,2,1.0,1,1,1,0,0,laundry on site,off-street parking
647,apartment,750,1,1.0,1,1,1,0,0,laundry in bldg,off-street parking
1311,apartment,850,2,1.0,1,1,1,0,0,laundry on site,off-street parking
1200,apartment,960,2,2.0,1,0,1,0,0,w/d hookups,off-street parking
1380,apartment,652,1,1.0,0,0,1,0,0,,
1355,apartment,1030,2,2.0,1,1,0,0,0,w/d in unit,off-street parking
750,apartment,900,2,1.0,0,0,1,0,0,laundry on site,off-street parking
1548,apartment,875,1,1.0,1,1,0,0,0,w/d in unit,off-street parking
955,apartment,1065,3,2.0,1,1,1,0,0,laundry on site,off-street parking
2675,apartment,900,1,1.0,1,0,1,0,0,laundry in bldg,detached garage
820,townhouse,800,2,1.5,1,1,1,0,0,laundry on site,off-street parking
1375,cottage/cabin,1000,2,2.0,1,1,1,0,0,w/d hookups,
1132,townhouse,1044,2,1.0,0,0,1,0,0,w/d hookups,attached garage
690,apartment,418,1,1.0,1,1,1,0,0,laundry on site,off-street parking
1349,apartment,965,2,2.0,1,1,1,0,0,w/d hookups,
625,apartment,644,1,1.0,1,1,1,0,0,laundry on site,
1261,townhouse,2700,3,2.5,1,1,1,0,0,w/d hookups,off-street parking
919,apartment,864,2,2.0,1,1,1,0,0,w/d hookups,off-street parking
820,apartment,1000,3,1.0,0,0,1,0,0,w/d hookups,off-street parking
925,apartment,817,2,1.0,1,1,1,0,0,w/d hookups,
1295,apartment,840,1,1.0,1,1,1,0,0,w/d in unit,off-street parking
1435,apartment,1140,2,2.0,1,1,0,0,0,w/d in unit,
900,house,1200,3,1.0,0,0,0,0,0,w/d hookups,off-street parking
819,apartment,785,2,1.0,1,1,1,0,0,laundry in bldg,
1299,apartment,1129,2,2.0,1,1,1,0,0,w/d hookups,
1600,apartment,1300,3,1.5,0,0,1,0,0,w/d in unit,off-street parking
1760,apartment,1302,2,2.0,0,0,1,0,0,,
525,in-law,250,0,1.0,0,0,1,0,0,laundry on site,off-street parking
1311,apartment,735,1,1.0,1,1,1,0,0,w/d in unit,carport
780,apartment,1275,2,2.5,1,1,1,0,0,w/d in unit,off-street parking
690,apartment,640,1,1.0,1,1,1,0,0,laundry on site,
705,apartment,900,1,1.0,0,0,1,0,0,w/d hookups,off-street parking
795,apartment,868,1,1.0,0,0,1,0,0,,
995,apartment,950,2,2.0,1,1,1,0,0,w/d in unit,off-street parking
2900,apartment,1185,2,2.0,0,0,0,1,0,w/d in unit,
1205,apartment,862,2,2.0,1,1,1,0,0,,off-street parking
2195,apartment,1000,1,1.0,0,0,0,0,1,laundry on site,
750,house,1251,3,2.0,1,1,1,0,0,w/d in unit,detached garage
800,apartment,830,1,1.0,0,0,1,0,0,,
1284,apartment,1089,2,2.0,1,1,1,0,0,w/d in unit,
960,apartment,949,2,1.0,1,1,0,0,0,w/d in unit,off-street parking
1200,house,700,2,1.0,0,0,1,0,0,laundry on site,off-street parking
1849,apartment,1350,3,2.0,0,0,1,0,0,,
1060,apartment,1080,3,2.0,0,0,0,0,0,w/d in unit,detached garage
521,apartment,595,1,1.0,1,1,1,0,0,laundry on site,off-street parking
1359,apartment,1078,2,2.0,1,1,0,0,0,w/d in unit,off-street parking
850,apartment,2300,3,2.0,0,0,1,0,0,,
1068,apartment,475,0,1.0,0,0,1,0,0,,
645,apartment,850,2,1.0,1,1,1,0,0,laundry on site,off-street parking
1140,apartment,1165,2,2.0,1,1,1,0,0,laundry on site,off-street parking
1800,house,2000,5,2.0,0,1,1,0,0,w/d hookups,off-street parking
2400,apartment,1586,2,2.0,1,1,1,0,0,w/d in unit,attached garage
725,apartment,750,1,1.0,0,0,0,0,0,,off-street parking
775,apartment,1150,2,1.5,0,0,1,0,0,,
1094,apartment,1011,2,2.0,1,1,1,0,0,w/d hookups,off-street parking
895,apartment,965,2,2.0,0,0,1,0,0,w/d hookups,
924,apartment,1227,2,2.0,1,1,1,0,0,w/d hookups,off-street parking
898,apartment,658,1,1.0,1,1,1,0,0,w/d in unit,
745,apartment,900,1,1.0,1,1,1,0,0,w/d in unit,carport
965,apartment,808,1,1.0,1,1,1,0,0,,street parking
750,apartment,956,2,2.0,1,1,1,0,0,w/d in unit,off-street parking
853,apartment,917,2,2.0,1,1,0,1,0,w/d hookups,off-street parking
960,apartment,950,2,0.0,0,0,1,1,0,w/d hookups,
1000,apartment,1115,3,2.0,1,1,0,0,0,w/d in unit,carport
1577,apartment,857,1,1.0,1,1,1,0,0,w/d in unit,
1920,apartment,646,1,1.0,1,1,1,0,0,w/d in unit,carport
580,apartment,640,1,1.0,1,1,1,0,0,laundry on site,off-street parking
1873,apartment,2606,3,2.5,1,1,1,0,0,,
1185,apartment,1030,2,2.0,1,1,1,0,0,w/d in unit,attached garage
1565,apartment,805,1,1.0,0,0,1,0,0,,
899,apartment,863,2,2.0,1,1,1,0,0,w/d in unit,no parking
1500,house,1600,3,2.0,0,0,0,0,0,w/d hookups,attached garage
1585,apartment,1343,2,2.0,0,0,1,0,0,,
795,apartment,816,2,1.0,0,0,1,0,0,w/d hookups,off-street parking
720,apartment,650,1,1.0,1,1,1,0,0,laundry on site,off-street parking
999,apartment,924,2,2.0,0,0,1,0,0,,
1350,apartment,1822,3,1.5,1,1,1,0,0,laundry in bldg,off-street parking
1695,townhouse,1748,3,2.5,0,0,0,0,0,w/d in unit,attached garage
1995,house,1100,2,1.0,0,0,1,0,0,w/d hookups,off-street parking
775,house,850,2,1.0,0,0,0,0,0,w/d hookups,off-street parking
1120,apartment,850,2,1.0,1,1,1,0,0,laundry in bldg,off-street parking
259,apartment,500,1,1.0,1,1,1,0,1,laundry on site,
1237,apartment,1059,3,1.0,0,0,0,0,0,laundry on site,off-street parking
2100,house,2137,4,2.0,1,1,1,0,0,w/d in unit,attached garage
1724,apartment,650,0,1.0,0,0,1,0,0,,
650,apartment,1200,2,2.0,1,1,1,0,0,w/d hookups,off-street parking
775,apartment,1150,2,2.0,0,0,1,0,0,,
850,apartment,1094,2,1.5,1,1,1,0,0,w/d hookups,carport
1225,apartment,578,0,1.0,1,1,1,0,0,w/d in unit,off-street parking
825,apartment,968,2,2.0,0,1,1,0,0,w/d in unit,off-street parking
1470,apartment,503,1,1.0,1,1,0,1,0,w/d in unit,off-street parking
925,apartment,1005,3,2.0,1,1,1,0,0,laundry in bldg,off-street parking
2190,apartment,962,2,1.0,1,1,1,0,0,w/d in unit,
1000,house,2080,5,2.5,1,1,1,0,0,,
1005,apartment,910,2,1.0,1,1,0,0,0,,
689,apartment,876,2,1.0,0,1,1,0,0,w/d hookups,
1140,apartment,1414,3,2.0,0,1,0,0,0,w/d in unit,off-street parking
700,apartment,850,2,1.5,1,1,1,0,0,laundry on site,off-street parking
1465,townhouse,1128,2,1.5,1,1,1,0,0,w/d in unit,attached garage
795,apartment,675,2,2.0,1,1,0,0,0,laundry on site,carport
725,apartment,770,2,1.0,1,1,1,0,0,w/d hookups,
750,apartment,1200,2,1.0,0,0,1,0,0,w/d hookups,off-street parking
2500,apartment,1200,3,2.0,1,1,1,0,0,,
1725,apartment,950,1,1.0,1,0,0,0,0,laundry on site,attached garage
709,apartment,1042,4,2.0,0,0,1,0,0,,
938,apartment,730,1,1.0,1,1,1,0,0,w/d in unit,carport
763,apartment,568,1,1.0,1,1,0,1,0,laundry on site,off-street parking
1500,house,1100,2,2.0,0,0,0,0,1,w/d in unit,off-street parking
980,apartment,1009,2,1.0,1,1,1,0,0,laundry on site,off-street parking
1284,apartment,1089,2,2.0,1,1,1,0,0,w/d in unit,
999,apartment,1150,2,2.0,1,1,0,0,0,laundry on site,attached garage
1160,condo,2425,5,1.5,1,1,1,0,0,,
725,manufactured,1280,4,2.0,0,0,0,0,0,w/d in unit,off-street parking
525,manufactured,800,2,1.0,1,1,1,0,0,w/d hookups,off-street parking
850,apartment,924,2,2.0,1,1,1,0,0,w/d hookups,detached garage
594,apartment,984,2,1.0,1,1,1,0,0,w/d hookups,
705,apartment,900,1,1.0,0,0,1,0,0,w/d hookups,off-street parking
899,apartment,1000,2,2.0,1,1,1,0,0,,
819,apartment,756,1,1.0,1,1,1,0,0,w/d hookups,off-street parking
995,apartment,950,2,1.0,0,0,0,0,0,laundry in bldg,off-street parking
1185,condo,1262,3,2.0,1,1,1,0,0,,
907,apartment,650,1,1.0,0,0,1,0,0,,
1400,apartment,900,4,1.0,0,0,1,0,0,laundry in bldg,street parking
900,apartment,814,1,1.0,1,0,1,0,0,laundry on site,off-street parking
675,apartment,650,1,1.0,1,1,1,0,0,laundry in bldg,
1638,apartment,901,2,2.0,0,0,1,0,0,,
1015,apartment,650,1,1.0,1,1,1,0,0,,
865,apartment,960,2,1.0,1,1,1,0,0,laundry in bldg,off-street parking
861,apartment,724,1,1.0,1,1,0,0,0,w/d hookups,off-street parking
825,townhouse,1600,3,1.5,1,1,0,0,0,w/d hookups,off-street parking
1453,apartment,764,1,1.0,1,1,1,0,0,w/d in unit,
795,townhouse,922,2,1.5,1,1,1,0,0,laundry on site,
1059,apartment,1664,4,3.0,1,1,1,1,0,w/d in unit,off-street parking
2501,apartment,667,1,1.0,1,1,0,0,0,w/d in unit,carport
1044,apartment,667,1,1.0,1,1,1,0,0,w/d in unit,off-street parking
850,house,1200,3,1.0,0,0,1,0,0,w/d hookups,street parking
1250,apartment,622,1,1.0,0,0,1,0,0,,
875,apartment,1300,2,1.0,0,0,0,0,0,laundry in bldg,off-street parking
987,apartment,1017,2,2.0,1,1,0,0,0,w/d in unit,off-street parking
999,apartment,889,2,2.0,1,1,1,0,0,w/d hookups,
1090,apartment,658,2,1.0,1,1,0,0,0,w/d in unit,off-street parking
930,apartment,950,2,2.0,0,0,1,0,0,,
875,duplex,912,2,1.0,1,1,0,0,0,w/d hookups,off-street parking
1995,apartment,465,0,1.0,1,1,1,0,0,,
1150,apartment,1056,2,2.5,1,1,1,0,0,w/d hookups,off-street parking
1099,apartment,1249,2,2.0,1,1,1,0,0,w/d in unit,
735,apartment,731,1,1.0,1,1,1,0,0,w/d in unit,off-street parking
1495,apartment,890,1,1.0,1,1,0,0,0,w/d in unit,attached garage
1480,apartment,1096,2,2.0,0,0,1,0,0,w/d hookups,
1175,apartment,703,1,1.0,1,1,1,0,0,w/d in unit,off-street parking
1058,apartment,500,1,1.0,1,1,0,1,1,laundry on site,off-street parking
500,apartment,750,2,1.0,1,1,1,0,0,laundry in bldg,off-street parking
495,apartment,650,1,1.0,0,0,1,0,0,laundry in bldg,off-street parking
769,apartment,620,1,1.0,1,1,1,0,0,laundry in bldg,off-street parking
694,apartment,950,2,2.0,1,1,1,0,0,w/d hookups,no parking
975,apartment,500,1,1.0,1,1,0,0,0,,
1579,apartment,1214,3,2.0,1,1,0,1,0,w/d in unit,attached garage
900,house,1813,3,2.0,1,1,1,1,0,w/d in unit,attached garage
1099,apartment,996,2,2.0,1,1,0,0,0,laundry on site,off-street parking
525,apartment,750,2,1.0,1,1,1,0,0,laundry in bldg,off-street parking
975,apartment,615,1,1.0,1,1,1,0,0,w/d in unit,
1010,apartment,802,1,1.0,0,0,1,0,0,,
1082,apartment,743,1,1.0,0,0,1,0,0,,
1300,condo,1100,2,1.0,0,0,1,0,0,laundry in bldg,detached garage
