ticker,exchange,assetType,priceCurrency,startDate,endDate
JNTLX,NMFQS,Mutual Fund,USD,2017-06-05,2020-10-02
JNTNX,NMFQS,Mutual Fund,USD,2017-06-05,2020-10-02
JNTOX,NMFQS,Mutual Fund,USD,2017-06-05,2020-10-02
JNTPX,NMFQS,Mutual Fund,USD,2017-06-05,2020-10-02
JNTRX,NMFQS,Mutual Fund,USD,1997-01-02,2015-06-16
JNUG,NYSE ARCA,ETF,USD,2013-10-03,2020-10-02
JNUSX,NMFQS,Mutual Fund,USD,1993-10-04,2020-10-02
JNVIX,NMFQS,Mutual Fund,USD,2010-03-31,2020-10-02
JNVMX,NMFQS,Mutual Fund,USD,2010-11-30,2020-10-02
JNVSX,NMFQS,Mutual Fund,USD,2010-03-31,2020-10-02
JNVXX,NMFQS,Mutual Fund,USD,,
JNVYX,NMFQS,Mutual Fund,USD,2020-01-15,2020-10-02
JNY,NYSE,Stock,USD,1991-05-16,2014-04-09
JNYAX,NMFQS,Mutual Fund,USD,2013-01-02,2020-10-02
JNYCX,NMFQS,Mutual Fund,USD,2015-01-02,2015-06-16
JNYIX,NMFQS,Mutual Fund,USD,2017-02-01,2020-10-02
JNYXX,NMFQS,Mutual Fund,USD,,
JO,NYSE ARCA,ETF,USD,2008-06-25,2018-04-12
JO,NYSE ARCA,ETF,USD,2018-02-01,2020-10-02
JOAAX,NMFQS,Mutual Fund,USD,2015-01-02,2020-10-02
JOAIX,NMFQS,Mutual Fund,USD,2015-01-02,2020-10-02
JOAMX,NMFQS,Mutual Fund,USD,2014-03-31,2020-10-02
JOAXX,NMFQS,Mutual Fund,USD,,
JOB,NYSE,Stock,USD,1992-03-17,2020-10-02
JOBAX,NMFQS,Mutual Fund,USD,,
JOBBX,NMFQS,Mutual Fund,USD,2013-01-02,2020-10-02
JOBCX,NMFQS,Mutual Fund,USD,,
JOBEX,NMFQS,Mutual Fund,USD,2013-01-02,2020-10-02
JOBIX,NMFQS,Mutual Fund,USD,2017-12-01,2020-10-02
JOBRX,NMFQS,Mutual Fund,USD,2017-03-31,2020-10-02
JOBS,NASDAQ,Stock,USD,2004-09-29,2020-10-02
